SalesID,OrderID,ProductID,Quantity,Discount,OrderDate
S0000000033,US-2015-150630,OFF-BI-10001525,6,0.7,2015-09-17
S0000000034,US-2015-150630,OFF-AR-10001683,2,0.2,2015-09-17
S0000000035,CA-2017-107727,OFF-PA-10000249,3,0.2,2017-10-19
S0000000036,CA-2016-117590,TEC-PH-10004977,7,0.2,2016-12-08
S0000000037,CA-2016-117590,FUR-FU-10003664,5,0.6,2016-12-08
S0000000038,CA-2015-117415,OFF-EN-10002986,9,0.2,2015-12-27
S0000000039,CA-2015-117415,FUR-BO-10002545,3,0.32,2015-12-27
S0000000040,CA-2015-117415,FUR-CH-10004218,3,0.3,2015-12-27
S0000000041,CA-2015-117415,TEC-PH-10000486,4,0.2,2015-12-27
S0000000042,CA-2017-120999,TEC-PH-10004093,4,0.2,2017-09-10
S0000000043,CA-2016-101343,OFF-ST-10003479,2,0.0,2016-07-17
S0000000044,CA-2017-139619,OFF-ST-10003282,2,0.2,2017-09-19
S0000000045,CA-2016-118255,TEC-AC-10000171,2,0.0,2016-03-11
S0000000046,CA-2016-118255,OFF-BI-10003291,2,0.0,2016-03-11
S0000000047,CA-2014-146703,OFF-ST-10001713,4,0.0,2014-10-20
S0000000048,CA-2016-169194,TEC-AC-10002167,3,0.0,2016-06-20
S0000000049,CA-2016-169194,TEC-PH-10003988,2,0.0,2016-06-20
S0000000050,CA-2015-115742,OFF-BI-10004410,6,0.0,2015-04-18
S0000000051,CA-2015-115742,OFF-LA-10002762,6,0.0,2015-04-18
S0000000052,CA-2015-115742,FUR-FU-10001706,2,0.0,2015-04-18
S0000000053,CA-2015-115742,FUR-CH-10003061,1,0.0,2015-04-18
S0000000054,CA-2016-105816,OFF-FA-10000304,7,0.0,2016-12-11
S0000000055,CA-2016-105816,TEC-PH-10002447,5,0.0,2016-12-11
S0000000056,CA-2016-111682,OFF-ST-10000604,6,0.0,2016-06-17
S0000000057,CA-2016-111682,OFF-PA-10001569,5,0.0,2016-06-17
S0000000058,CA-2016-111682,FUR-CH-10003968,5,0.1,2016-06-17
S0000000059,CA-2016-111682,OFF-PA-10000587,2,0.0,2016-06-17
S0000000060,CA-2016-111682,TEC-AC-10002167,2,0.0,2016-06-17
S0000000061,CA-2016-111682,OFF-BI-10001460,4,0.2,2016-06-17
S0000000062,CA-2016-111682,OFF-AR-10001868,1,0.0,2016-06-17
S0000000063,CA-2015-135545,TEC-AC-10004633,2,0.0,2015-11-24
S0000000064,CA-2015-135545,OFF-BI-10001078,6,0.2,2015-11-24
S0000000065,CA-2015-135545,OFF-PA-10003892,3,0.0,2015-11-24
S0000000066,CA-2015-135545,FUR-FU-10000397,4,0.0,2015-11-24
S0000000067,US-2015-164175,FUR-CH-10001146,5,0.3,2015-04-30
S0000000068,CA-2014-106376,OFF-AR-10002671,8,0.2,2014-12-05
S0000000069,CA-2014-106376,TEC-PH-10002726,4,0.2,2014-12-05
S0000000070,CA-2016-119823,OFF-PA-10000482,2,0.0,2016-06-04
S0000000071,CA-2016-106075,OFF-BI-10004654,1,0.2,2016-09-18
S0000000072,CA-2017-114440,OFF-PA-10004675,3,0.0,2017-09-14
S0000000073,US-2015-134026,FUR-CH-10000513,8,0.2,2015-04-26
S0000000074,US-2015-134026,FUR-FU-10003708,2,0.2,2015-04-26
S0000000075,US-2015-134026,OFF-ST-10004123,1,0.2,2015-04-26
S0000000076,US-2017-118038,OFF-BI-10004182,3,0.8,2017-12-09
S0000000077,US-2017-118038,FUR-FU-10000260,3,0.6,2017-12-09
S0000000078,US-2017-118038,OFF-ST-10000615,3,0.2,2017-12-09
S0000000079,US-2014-147606,FUR-FU-10003194,5,0.6,2014-11-26
S0000000080,CA-2016-127208,OFF-AP-10002118,1,0.0,2016-06-12
S0000000081,CA-2016-127208,OFF-BI-10002309,3,0.0,2016-06-12
S0000000082,CA-2014-139451,OFF-AR-10002053,5,0.0,2014-10-12
S0000000083,CA-2014-139451,OFF-ST-10002370,1,0.0,2014-10-12
S0000000084,CA-2015-149734,OFF-EN-10000927,7,0.2,2015-09-03
S0000000085,US-2017-119662,OFF-ST-10003656,3,0.2,2017-11-13
S0000000086,CA-2017-140088,FUR-CH-10000863,2,0.0,2017-05-28
S0000000087,CA-2017-155558,TEC-AC-10001998,1,0.0,2017-10-26
S0000000088,CA-2017-155558,OFF-LA-10000134,2,0.0,2017-10-26
S0000000089,CA-2016-159695,OFF-ST-10003442,7,0.2,2016-04-05
S0000000090,CA-2016-109806,OFF-AR-10004930,3,0.0,2016-09-17
S0000000091,CA-2016-109806,TEC-PH-10004093,2,0.2,2016-09-17
S0000000092,CA-2016-109806,OFF-PA-10000304,1,0.0,2016-09-17
S0000000093,CA-2015-149587,OFF-PA-10003177,2,0.0,2015-01-31
S0000000094,CA-2015-149587,FUR-FU-10003799,3,0.0,2015-01-31
S0000000095,CA-2015-149587,OFF-BI-10002852,2,0.0,2015-01-31
S0000000096,US-2017-109484,OFF-BI-10004738,1,0.7,2017-11-06
S0000000097,CA-2017-161018,FUR-FU-10000629,7,0.0,2017-11-09
S0000000098,CA-2017-157833,OFF-BI-10001721,3,0.2,2017-06-17
S0000000099,CA-2016-149223,OFF-AP-10000358,6,0.0,2016-09-06
S0000000100,CA-2016-158568,OFF-PA-10003256,7,0.2,2016-08-29
S0000000101,CA-2016-158568,TEC-AC-10001767,3,0.2,2016-08-29
S0000000102,CA-2016-158568,OFF-BI-10002609,3,0.8,2016-08-29
S0000000103,CA-2016-129903,OFF-PA-10004040,4,0.0,2016-12-01
S0000000104,US-2015-156867,TEC-AC-10001552,6,0.2,2015-11-13
S0000000105,US-2015-156867,FUR-FU-10004006,3,0.2,2015-11-13
S0000000106,US-2015-156867,OFF-BI-10002794,3,0.7,2015-11-13
S0000000107,CA-2017-119004,TEC-AC-10003499,8,0.2,2017-11-23
S0000000108,CA-2017-119004,TEC-PH-10002844,1,0.2,2017-11-23
S0000000109,CA-2017-119004,OFF-AR-10000390,1,0.2,2017-11-23
S0000000110,CA-2015-129476,TEC-AC-10000844,5,0.2,2015-10-15
S0000000111,CA-2017-146780,FUR-FU-10001934,2,0.0,2017-12-25
S0000000112,CA-2016-128867,OFF-AR-10000380,2,0.0,2016-11-03
S0000000113,CA-2016-128867,OFF-BI-10003981,6,0.0,2016-11-03
S0000000114,CA-2014-115259,OFF-FA-10000621,14,0.2,2014-08-25
S0000000115,CA-2014-115259,OFF-EN-10002600,2,0.2,2014-08-25
S0000000116,CA-2014-115259,OFF-PA-10004965,3,0.2,2014-08-25
S0000000117,CA-2014-115259,OFF-EN-10002504,6,0.2,2014-08-25
S0000000118,CA-2015-110457,FUR-TA-10001768,3,0.0,2015-03-02
S0000000119,US-2015-136476,OFF-BI-10003650,1,0.7,2015-04-05
S0000000120,CA-2016-103730,FUR-FU-10002157,3,0.0,2016-06-12
S0000000121,CA-2016-103730,OFF-BI-10003910,4,0.0,2016-06-12
S0000000122,CA-2016-103730,OFF-ST-10000777,6,0.0,2016-06-12
S0000000123,CA-2016-103730,OFF-EN-10002500,9,0.0,2016-06-12
S0000000124,CA-2016-103730,TEC-PH-10003875,7,0.0,2016-06-12
S0000000125,US-2014-152030,FUR-CH-10004063,3,0.3,2014-12-26
S0000000126,US-2014-134614,FUR-TA-10004534,6,0.5,2014-09-20
S0000000127,US-2017-107272,OFF-BI-10003274,2,0.7,2017-11-05
S0000000128,US-2017-107272,OFF-ST-10002974,7,0.2,2017-11-05
S0000000129,US-2016-125969,FUR-CH-10001146,2,0.2,2016-11-06
S0000000130,US-2016-125969,FUR-FU-10003773,3,0.0,2016-11-06
S0000000131,US-2017-164147,TEC-PH-10002293,5,0.4,2017-02-02
S0000000132,US-2017-164147,OFF-PA-10002377,2,0.2,2017-02-02
S0000000133,US-2017-164147,OFF-FA-10002780,9,0.2,2017-02-02
S0000000134,CA-2016-145583,OFF-PA-10001804,3,0.0,2016-10-13
S0000000135,CA-2016-145583,OFF-PA-10001736,1,0.0,2016-10-13
S0000000136,CA-2016-145583,OFF-AR-10001149,4,0.0,2016-10-13
S0000000137,CA-2016-145583,OFF-FA-10002988,2,0.0,2016-10-13
S0000000138,CA-2016-145583,OFF-BI-10004781,3,0.2,2016-10-13
S0000000139,CA-2016-145583,OFF-SU-10001218,6,0.0,2016-10-13
S0000000140,CA-2016-145583,FUR-FU-10001706,14,0.0,2016-10-13
S0000000141,CA-2016-110366,FUR-FU-10004848,2,0.2,2016-09-05
S0000000142,CA-2017-106180,OFF-AR-10000940,3,0.0,2017-09-18
S0000000143,CA-2017-106180,OFF-EN-10004030,3,0.0,2017-09-18
S0000000144,CA-2017-106180,OFF-PA-10004327,3,0.0,2017-09-18
S0000000145,CA-2017-155376,OFF-AP-10001058,3,0.0,2017-12-22
S0000000146,CA-2015-110744,OFF-ST-10003656,7,0.0,2015-09-07
S0000000147,CA-2014-110072,FUR-FU-10000521,4,0.2,2014-10-22
S0000000148,CA-2016-114489,TEC-PH-10000215,11,0.0,2016-12-05
S0000000149,CA-2016-114489,TEC-PH-10001448,3,0.0,2016-12-05
S0000000150,CA-2016-114489,FUR-CH-10000454,8,0.0,2016-12-05
S0000000151,CA-2016-114489,OFF-BI-10002735,5,0.0,2016-12-05
S0000000152,CA-2016-158834,OFF-AP-10000326,5,0.2,2016-03-13
S0000000153,CA-2016-158834,TEC-PH-10001254,2,0.2,2016-03-13
S0000000154,CA-2015-124919,OFF-PA-10001950,7,0.0,2015-05-31
S0000000155,CA-2015-124919,OFF-PA-10002254,4,0.0,2015-05-31
S0000000156,CA-2015-124919,OFF-ST-10001590,6,0.0,2015-05-31
S0000000157,CA-2015-118948,OFF-AR-10001547,3,0.0,2015-05-28
S0000000158,CA-2014-104269,FUR-CH-10004063,2,0.2,2014-03-01
S0000000159,CA-2016-114104,OFF-LA-10002475,2,0.0,2016-11-20
S0000000160,CA-2016-114104,TEC-PH-10004536,7,0.0,2016-11-20
S0000000161,CA-2016-162733,OFF-PA-10002751,1,0.0,2016-05-11
S0000000162,CA-2015-119697,TEC-AC-10003657,2,0.2,2015-12-28
S0000000163,CA-2016-154508,OFF-EN-10001990,5,0.0,2016-11-16
S0000000164,CA-2016-113817,OFF-BI-10004002,2,0.2,2016-11-07
S0000000165,CA-2014-139892,OFF-AR-10004441,3,0.2,2014-09-08
S0000000166,CA-2014-139892,TEC-MA-10000822,8,0.4,2014-09-08
S0000000167,CA-2014-139892,OFF-ST-10000991,3,0.2,2014-09-08
S0000000168,CA-2014-139892,FUR-CH-10004287,9,0.3,2014-09-08
S0000000169,CA-2014-139892,OFF-AR-10002656,6,0.2,2014-09-08
S0000000170,CA-2014-139892,OFF-AP-10002518,5,0.8,2014-09-08
S0000000171,CA-2014-139892,TEC-PH-10003931,3,0.2,2014-09-08
S0000000172,CA-2014-118962,OFF-PA-10000659,3,0.0,2014-08-05
S0000000173,CA-2014-118962,OFF-PA-10001144,2,0.0,2014-08-05
S0000000174,CA-2014-118962,FUR-CH-10003817,7,0.2,2014-08-05
S0000000175,US-2014-100853,OFF-AP-10000891,2,0.8,2014-09-14
S0000000176,US-2014-100853,OFF-LA-10003148,4,0.2,2014-09-14
S0000000177,US-2017-152366,OFF-AP-10002684,4,0.8,2017-04-21
S0000000178,US-2015-101511,FUR-CH-10004698,7,0.3,2015-11-21
S0000000179,US-2015-101511,OFF-SU-10002189,5,0.2,2015-11-21
S0000000180,CA-2015-137225,OFF-AR-10001940,1,0.0,2015-12-15
S0000000181,CA-2014-166191,OFF-ST-10003455,2,0.2,2014-12-05
S0000000182,CA-2014-166191,TEC-AC-10004659,7,0.2,2014-12-05
S0000000183,CA-2014-158274,TEC-PH-10003273,4,0.0,2014-11-19
S0000000184,CA-2014-158274,TEC-PH-10004896,5,0.0,2014-11-19
S0000000185,CA-2014-158274,TEC-AC-10002345,2,0.0,2014-11-19
S0000000186,CA-2016-105018,OFF-BI-10001890,2,0.0,2016-11-28
S0000000187,CA-2014-123260,TEC-AC-10002323,8,0.0,2014-08-26
S0000000188,CA-2016-157000,OFF-ST-10001328,3,0.2,2016-07-16
S0000000189,CA-2016-157000,OFF-PA-10001950,3,0.2,2016-07-16
S0000000190,CA-2015-102281,FUR-BO-10002613,4,0.2,2015-10-12
S0000000191,CA-2015-102281,TEC-PH-10001552,6,0.0,2015-10-12
S0000000192,CA-2015-102281,OFF-PA-10000061,8,0.0,2015-10-12
S0000000193,CA-2015-102281,FUR-BO-10002545,3,0.2,2015-10-12
S0000000194,CA-2015-102281,OFF-AR-10003514,5,0.0,2015-10-12
S0000000195,CA-2015-131457,OFF-EN-10001509,7,0.0,2015-10-31
S0000000196,CA-2014-140004,OFF-AR-10004685,2,0.2,2014-03-21
S0000000197,CA-2014-140004,OFF-AR-10004027,3,0.2,2014-03-21
S0000000198,CA-2017-107720,OFF-ST-10001414,3,0.0,2017-11-06
S0000000199,US-2017-124303,OFF-BI-10000343,2,0.7,2017-07-06
S0000000200,US-2017-124303,OFF-PA-10002749,3,0.2,2017-07-06
S0000000201,CA-2017-105074,OFF-PA-10002666,3,0.2,2017-06-24
S0000000202,CA-2014-133690,FUR-TA-10004289,2,0.5,2014-08-03
S0000000203,CA-2014-133690,OFF-AP-10003622,1,0.2,2014-08-03
S0000000204,US-2017-116701,OFF-AP-10003217,2,0.8,2017-12-17
S0000000205,CA-2017-126382,FUR-FU-10002960,7,0.2,2017-06-03
S0000000206,CA-2017-108329,TEC-PH-10001918,4,0.2,2017-12-09
S0000000207,CA-2017-135860,OFF-ST-10000642,4,0.0,2017-12-01
S0000000208,CA-2017-135860,TEC-PH-10001700,2,0.0,2017-12-01
S0000000209,CA-2017-135860,OFF-BI-10003274,4,0.0,2017-12-01
S0000000210,CA-2017-135860,OFF-FA-10000134,9,0.0,2017-12-01
S0000000211,CA-2017-135860,OFF-ST-10001522,1,0.0,2017-12-01
S0000000212,CA-2015-101007,TEC-AC-10001266,2,0.2,2015-02-09
S0000000213,CA-2015-146262,OFF-LA-10004544,2,0.2,2015-01-02
S0000000214,CA-2015-146262,FUR-BO-10004695,5,0.5,2015-01-02
S0000000215,CA-2015-146262,TEC-PH-10002844,3,0.4,2015-01-02
S0000000216,CA-2015-146262,TEC-MA-10000864,9,0.7,2015-01-02
S0000000217,CA-2015-146262,TEC-AC-10000109,2,0.2,2015-01-02
S0000000218,CA-2016-130162,OFF-ST-10001328,6,0.0,2016-10-28
S0000000219,CA-2016-130162,TEC-PH-10002563,3,0.2,2016-10-28
S0000000220,CA-2015-169397,OFF-FA-10000585,2,0.2,2015-12-24
S0000000221,CA-2015-169397,OFF-PA-10004000,6,0.2,2015-12-24
S0000000222,CA-2015-169397,OFF-BI-10002852,4,0.7,2015-12-24
S0000000223,CA-2015-169397,FUR-FU-10000087,4,0.2,2015-12-24
S0000000224,CA-2015-169397,TEC-MA-10001148,4,0.7,2015-12-24
S0000000225,CA-2015-169397,OFF-AR-10001958,2,0.2,2015-12-24
S0000000226,CA-2015-163055,OFF-AR-10001026,1,0.0,2015-08-09
S0000000227,CA-2015-163055,FUR-TA-10003748,5,0.0,2015-08-09
S0000000228,CA-2015-163055,OFF-ST-10002485,1,0.0,2015-08-09
S0000000229,US-2015-145436,FUR-CH-10004860,2,0.2,2015-02-28
S0000000230,US-2015-145436,FUR-CH-10004477,8,0.2,2015-02-28
S0000000231,US-2014-156216,OFF-BI-10001679,7,0.7,2014-09-13
S0000000232,US-2017-100930,FUR-TA-10001705,2,0.45,2017-04-07
S0000000233,US-2017-100930,FUR-TA-10003473,3,0.45,2017-04-07
S0000000234,US-2017-100930,OFF-BI-10001679,2,0.7,2017-04-07
S0000000235,US-2017-100930,FUR-FU-10004017,3,0.2,2017-04-07
S0000000236,US-2017-100930,TEC-AC-10003832,3,0.2,2017-04-07
S0000000237,CA-2017-160514,OFF-PA-10002479,2,0.0,2017-11-12
S0000000238,CA-2016-157749,OFF-PA-10003349,5,0.2,2016-06-04
S0000000239,CA-2016-157749,FUR-FU-10000576,5,0.6,2016-06-04
S0000000240,CA-2016-157749,FUR-FU-10004351,3,0.6,2016-06-04
S0000000241,CA-2016-157749,TEC-PH-10000011,2,0.2,2016-06-04
S0000000242,CA-2016-157749,FUR-TA-10002607,5,0.5,2016-06-04
S0000000243,CA-2016-157749,FUR-FU-10002505,3,0.6,2016-06-04
S0000000244,CA-2016-157749,OFF-AR-10004685,2,0.2,2016-06-04
S0000000245,CA-2014-131926,FUR-CH-10004063,7,0.0,2014-06-01
S0000000246,CA-2014-131926,OFF-ST-10002276,2,0.0,2014-06-01
S0000000247,CA-2014-131926,OFF-PA-10004082,6,0.0,2014-06-01
S0000000248,CA-2014-131926,OFF-AP-10002945,5,0.0,2014-06-01
S0000000249,CA-2014-131926,OFF-PA-10000061,4,0.0,2014-06-01
S0000000250,CA-2016-154739,FUR-CH-10002965,2,0.2,2016-12-10
S0000000251,CA-2016-145625,OFF-PA-10004569,1,0.0,2016-09-11
S0000000252,CA-2016-145625,TEC-AC-10003832,13,0.0,2016-09-11
S0000000253,CA-2016-146941,OFF-ST-10001228,6,0.0,2016-12-10
S0000000254,CA-2016-146941,OFF-EN-10003296,4,0.0,2016-12-10
S0000000255,US-2015-159982,FUR-FU-10002505,9,0.6,2015-11-28
S0000000256,US-2015-159982,OFF-ST-10004804,2,0.2,2015-11-28
S0000000257,US-2015-159982,OFF-ST-10001590,5,0.2,2015-11-28
S0000000258,US-2015-159982,TEC-PH-10001580,6,0.2,2015-11-28
S0000000259,CA-2017-163139,TEC-AC-10000290,3,0.0,2017-12-01
S0000000260,CA-2017-163139,OFF-ST-10002790,3,0.0,2017-12-01
S0000000261,CA-2017-163139,OFF-BI-10003460,5,0.2,2017-12-01
S0000000262,US-2017-155299,OFF-AP-10002203,2,0.8,2017-06-08
S0000000263,US-2014-106992,TEC-MA-10000822,3,0.4,2014-09-19
S0000000264,US-2014-106992,TEC-MA-10003353,7,0.4,2014-09-19
S0000000265,CA-2016-125318,TEC-PH-10001433,4,0.2,2016-06-06
S0000000266,CA-2015-155040,TEC-AC-10004469,2,0.0,2015-11-10
S0000000267,CA-2017-136826,OFF-AR-10003602,3,0.2,2017-06-16
S0000000268,CA-2016-111010,OFF-FA-10003472,6,0.0,2016-01-22
S0000000269,US-2017-145366,OFF-ST-10004180,1,0.2,2017-12-09
S0000000270,US-2017-145366,OFF-EN-10004386,3,0.2,2017-12-09
S0000000271,CA-2017-163979,OFF-ST-10003208,4,0.0,2017-12-28
S0000000272,CA-2015-155334,TEC-AC-10003628,7,0.0,2015-07-30
S0000000273,CA-2015-155334,FUR-FU-10003274,3,0.0,2015-07-30
S0000000274,CA-2015-155334,OFF-BI-10002557,3,0.2,2015-07-30
S0000000275,CA-2017-118136,OFF-PA-10002615,2,0.0,2017-09-16
S0000000276,CA-2017-118136,OFF-AR-10001427,1,0.0,2017-09-16
S0000000277,CA-2017-132976,OFF-PA-10000673,2,0.2,2017-10-13
S0000000278,CA-2017-132976,OFF-PA-10004470,4,0.2,2017-10-13
S0000000279,CA-2017-132976,OFF-ST-10000876,6,0.2,2017-10-13
S0000000280,CA-2017-132976,OFF-LA-10002043,3,0.2,2017-10-13
S0000000281,US-2015-161991,OFF-BI-10004967,5,0.8,2015-09-26
S0000000282,US-2015-161991,TEC-PH-10001760,7,0.2,2015-09-26
S0000000283,CA-2015-130890,FUR-TA-10002903,5,0.2,2015-11-02
S0000000284,CA-2015-130883,OFF-PA-10000474,5,0.2,2015-09-26
S0000000285,CA-2015-130883,TEC-AC-10001956,5,0.2,2015-09-26
S0000000286,CA-2015-130883,OFF-PA-10004100,6,0.2,2015-09-26
S0000000287,CA-2016-112697,OFF-BI-10000778,7,0.7,2016-12-18
S0000000288,CA-2016-112697,OFF-AP-10002684,2,0.2,2016-12-18
S0000000289,CA-2016-112697,OFF-SU-10000646,5,0.2,2016-12-18
S0000000290,CA-2016-110772,OFF-FA-10002983,7,0.2,2016-11-20
S0000000291,CA-2016-110772,OFF-LA-10004689,8,0.2,2016-11-20
S0000000292,CA-2016-110772,TEC-AC-10002001,2,0.2,2016-11-20
S0000000293,CA-2016-110772,FUR-BO-10004709,3,0.5,2016-11-20
S0000000294,CA-2014-111451,FUR-FU-10004091,8,0.2,2014-12-26
S0000000295,CA-2014-111451,FUR-CH-10001891,3,0.2,2014-12-26
S0000000296,CA-2014-111451,FUR-FU-10002918,3,0.2,2014-12-26
S0000000297,CA-2014-111451,OFF-BI-10004593,5,0.7,2014-12-26
S0000000298,CA-2014-111451,OFF-FA-10004854,3,0.2,2014-12-26
S0000000299,CA-2016-142545,OFF-PA-10002105,5,0.0,2016-10-28
S0000000300,CA-2016-142545,OFF-ST-10002756,8,0.0,2016-10-28
S0000000301,CA-2016-142545,OFF-PA-10004243,3,0.0,2016-10-28
S0000000302,CA-2016-142545,FUR-FU-10001861,4,0.0,2016-10-28
S0000000303,CA-2016-142545,OFF-BI-10002706,1,0.0,2016-10-28
S0000000304,US-2017-152380,FUR-TA-10002533,3,0.5,2017-11-19
S0000000305,CA-2015-144253,FUR-FU-10002671,2,0.0,2015-05-04
S0000000306,CA-2014-130960,OFF-AR-10003651,3,0.0,2014-12-30
S0000000307,CA-2014-111003,OFF-BI-10001072,3,0.0,2014-06-01
S0000000308,CA-2014-111003,OFF-AR-10002135,6,0.0,2014-06-01
S0000000309,CA-2017-126774,OFF-AR-10002804,1,0.0,2017-04-15
S0000000310,CA-2016-142902,FUR-FU-10001918,4,0.2,2016-09-12
S0000000311,CA-2016-142902,FUR-CH-10004086,2,0.2,2016-09-12
S0000000312,CA-2016-142902,FUR-FU-10001756,1,0.2,2016-09-12
S0000000313,CA-2016-142902,OFF-LA-10000634,3,0.2,2016-09-12
S0000000314,CA-2014-120887,FUR-FU-10001588,3,0.0,2014-09-27
S0000000315,CA-2014-167850,TEC-PH-10002398,2,0.2,2014-08-09
S0000000316,CA-2014-167850,OFF-PA-10001937,3,0.2,2014-08-09
S0000000317,CA-2014-164259,OFF-AR-10003373,4,0.2,2014-12-28
S0000000318,CA-2014-164973,FUR-CH-10002602,1,0.1,2014-11-04
S0000000319,CA-2014-164973,TEC-MA-10002927,2,0.0,2014-11-04
S0000000320,CA-2014-164973,TEC-PH-10004093,6,0.0,2014-11-04
S0000000321,CA-2014-164973,TEC-AC-10000892,4,0.0,2014-11-04
S0000000322,CA-2014-164973,OFF-ST-10002974,1,0.0,2014-11-04
S0000000323,CA-2014-156601,OFF-FA-10000624,2,0.0,2014-09-19
S0000000324,CA-2016-162138,OFF-BI-10004593,6,0.2,2016-04-23
S0000000325,CA-2016-162138,TEC-AC-10001908,1,0.0,2016-04-23
S0000000326,CA-2017-153339,FUR-FU-10001967,1,0.2,2017-11-03
S0000000327,US-2016-141544,TEC-PH-10003645,3,0.4,2016-08-30
S0000000328,US-2016-141544,OFF-ST-10000675,2,0.2,2016-08-30
S0000000329,US-2016-141544,FUR-CH-10003312,4,0.3,2016-08-30
S0000000330,US-2016-141544,OFF-LA-10001074,10,0.2,2016-08-30
S0000000331,US-2016-141544,OFF-BI-10001524,6,0.7,2016-08-30
S0000000332,US-2016-150147,TEC-PH-10004614,2,0.4,2016-04-25
S0000000333,US-2016-150147,OFF-BI-10001153,2,0.7,2016-04-25
S0000000334,US-2016-150147,OFF-BI-10001982,3,0.7,2016-04-25
S0000000335,CA-2015-137946,OFF-BI-10001922,1,0.2,2015-09-01
S0000000336,CA-2015-137946,TEC-CO-10001449,2,0.2,2015-09-01
S0000000337,CA-2015-137946,OFF-BI-10004140,4,0.2,2015-09-01
S0000000338,CA-2014-129924,OFF-BI-10003314,2,0.2,2014-07-12
S0000000339,CA-2014-129924,FUR-TA-10004575,3,0.2,2014-07-12
S0000000340,CA-2015-128167,OFF-FA-10000490,4,0.0,2015-06-22
S0000000341,CA-2014-122336,OFF-AR-10000122,4,0.2,2014-04-13
S0000000342,CA-2014-122336,OFF-BI-10003656,10,0.7,2014-04-13
S0000000343,CA-2014-122336,OFF-FA-10002780,13,0.2,2014-04-13
S0000000344,CA-2014-122336,TEC-PH-10000702,12,0.4,2014-04-13
S0000000345,US-2015-120712,OFF-ST-10000107,4,0.2,2015-12-20
S0000000346,CA-2017-169901,TEC-PH-10002293,3,0.2,2017-06-15
S0000000347,CA-2017-134306,OFF-AR-10004027,3,0.0,2017-07-08
S0000000348,CA-2017-134306,OFF-PA-10000249,2,0.0,2017-07-08
S0000000349,CA-2017-134306,OFF-AR-10001374,2,0.0,2017-07-08
S0000000350,CA-2016-129714,TEC-AC-10000290,1,0.0,2016-09-01
S0000000351,CA-2016-129714,OFF-PA-10001970,2,0.0,2016-09-01
S0000000352,CA-2016-129714,OFF-BI-10002160,1,0.2,2016-09-01
S0000000353,CA-2016-129714,OFF-PA-10001970,4,0.0,2016-09-01
S0000000354,CA-2016-129714,OFF-BI-10004995,4,0.2,2016-09-01
S0000000355,CA-2016-138520,FUR-BO-10002268,6,0.2,2016-04-08
S0000000356,CA-2016-138520,OFF-EN-10001137,2,0.0,2016-04-08
S0000000357,CA-2016-138520,OFF-AR-10002399,4,0.0,2016-04-08
S0000000358,CA-2016-138520,OFF-PA-10002713,5,0.0,2016-04-08
S0000000359,CA-2016-130001,OFF-PA-10002666,5,0.2,2016-04-23
