SalesID,AddressID,ShipMode,ShipDate
S0000000062,A000027,First Class,2016-06-18
S0000000063,A000028,Standard Class,2015-11-30
S0000000064,A000028,Standard Class,2015-11-30
S0000000065,A000028,Standard Class,2015-11-30
S0000000066,A000028,Standard Class,2015-11-30
S0000000067,A000029,Standard Class,2015-05-05
S0000000068,A000030,Standard Class,2014-12-10
S0000000069,A000030,Standard Class,2014-12-10
S0000000070,A000031,First Class,2016-06-06
S0000000071,A000032,Standard Class,2016-09-23
S0000000072,A000033,Second Class,2017-09-17
S0000000073,A000034,Standard Class,2015-05-02
S0000000074,A000034,Standard Class,2015-05-02
S0000000075,A000034,Standard Class,2015-05-02
S0000000076,A000035,First Class,2017-12-11
S0000000077,A000035,First Class,2017-12-11
S0000000078,A000035,First Class,2017-12-11
S0000000079,A000036,Second Class,2014-12-01
S0000000080,A000037,First Class,2016-06-15
S0000000081,A000037,First Class,2016-06-15
S0000000082,A000038,Standard Class,2014-10-16
S0000000083,A000038,Standard Class,2014-10-16
S0000000084,A000039,Standard Class,2015-09-08
S0000000085,A000040,First Class,2017-11-16
S0000000086,A000041,Second Class,2017-05-30
S0000000087,A000042,Standard Class,2017-11-02
S0000000088,A000042,Standard Class,2017-11-02
S0000000089,A000043,Second Class,2016-04-10
S0000000090,A000044,Standard Class,2016-09-22
S0000000091,A000044,Standard Class,2016-09-22
S0000000092,A000044,Standard Class,2016-09-22
S0000000093,A000045,Second Class,2015-02-05
S0000000094,A000045,Second Class,2015-02-05
S0000000095,A000045,Second Class,2015-02-05
S0000000096,A000046,Standard Class,2017-11-12
S0000000097,A000047,Second Class,2017-11-11
S0000000098,A000048,First Class,2017-06-20
S0000000099,A000049,Standard Class,2016-09-11
S0000000100,A000050,Standard Class,2016-09-02
S0000000101,A000050,Standard Class,2016-09-02
S0000000102,A000050,Standard Class,2016-09-02
S0000000103,A000051,Second Class,2016-12-04
S0000000104,A000052,Standard Class,2015-11-17
S0000000105,A000052,Standard Class,2015-11-17
S0000000106,A000052,Standard Class,2015-11-17
S0000000107,A000053,Standard Class,2017-11-28
S0000000108,A000053,Standard Class,2017-11-28
S0000000109,A000053,Standard Class,2017-11-28
S0000000110,A000054,Standard Class,2015-10-20
S0000000111,A000055,Standard Class,2017-12-30
S0000000112,A000056,Standard Class,2016-11-10
S0000000113,A000056,Standard Class,2016-11-10
S0000000114,A000057,Second Class,2014-08-27
S0000000115,A000057,Second Class,2014-08-27
S0000000116,A000057,Second Class,2014-08-27
S0000000117,A000057,Second Class,2014-08-27
S0000000118,A000058,Standard Class,2015-03-06
S0000000119,A000059,Standard Class,2015-04-10
S0000000120,A000060,First Class,2016-06-15
S0000000121,A000060,First Class,2016-06-15
S0000000122,A000060,First Class,2016-06-15
S0000000123,A000060,First Class,2016-06-15
S0000000124,A000060,First Class,2016-06-15
S0000000125,A000061,Second Class,2014-12-28
S0000000126,A000062,Standard Class,2014-09-25
S0000000127,A000063,Standard Class,2017-11-12
S0000000128,A000063,Standard Class,2017-11-12
S0000000129,A000064,Second Class,2016-11-10
S0000000130,A000064,Second Class,2016-11-10
S0000000131,A000065,First Class,2017-02-05
S0000000132,A000065,First Class,2017-02-05
S0000000133,A000065,First Class,2017-02-05
S0000000134,A000066,Standard Class,2016-10-19
S0000000135,A000066,Standard Class,2016-10-19
S0000000136,A000066,Standard Class,2016-10-19
S0000000137,A000066,Standard Class,2016-10-19
S0000000138,A000066,Standard Class,2016-10-19
S0000000139,A000066,Standard Class,2016-10-19
S0000000140,A000066,Standard Class,2016-10-19
S0000000141,A000067,Second Class,2016-09-07
S0000000142,A000068,Standard Class,2017-09-23
S0000000143,A000068,Standard Class,2017-09-23
S0000000144,A000068,Standard Class,2017-09-23
S0000000145,A000069,Standard Class,2017-12-27
S0000000146,A000070,Standard Class,2015-09-12
S0000000147,A000071,Standard Class,2014-10-28
S0000000148,A000072,Standard Class,2016-12-09
S0000000149,A000072,Standard Class,2016-12-09
S0000000150,A000072,Standard Class,2016-12-09
S0000000151,A000072,Standard Class,2016-12-09
S0000000152,A000073,First Class,2016-03-16
S0000000153,A000073,First Class,2016-03-16
S0000000154,A000074,First Class,2015-06-02
S0000000155,A000074,First Class,2015-06-02
S0000000156,A000074,First Class,2015-06-02
S0000000157,A000075,Standard Class,2015-06-03
S0000000158,A000076,Second Class,2014-03-06
S0000000159,A000077,Standard Class,2016-11-24
S0000000160,A000077,Standard Class,2016-11-24
S0000000161,A000078,First Class,2016-05-12
S0000000162,A000079,Second Class,2015-12-31
S0000000163,A000080,Standard Class,2016-11-20
S0000000164,A000081,Standard Class,2016-11-11
S0000000165,A000082,Standard Class,2014-09-12
S0000000166,A000082,Standard Class,2014-09-12
S0000000167,A000082,Standard Class,2014-09-12
S0000000168,A000082,Standard Class,2014-09-12
S0000000169,A000082,Standard Class,2014-09-12
S0000000170,A000082,Standard Class,2014-09-12
S0000000171,A000082,Standard Class,2014-09-12
S0000000172,A000083,Standard Class,2014-08-09
S0000000173,A000083,Standard Class,2014-08-09
S0000000174,A000083,Standard Class,2014-08-09
S0000000175,A000084,Standard Class,2014-09-19
S0000000176,A000084,Standard Class,2014-09-19
S0000000177,A000085,Second Class,2017-04-25
S0000000178,A000086,Second Class,2015-11-23
S0000000179,A000086,Second Class,2015-11-23
S0000000180,A000087,Standard Class,2015-12-19
S0000000181,A000088,Second Class,2014-12-09
S0000000182,A000088,Second Class,2014-12-09
S0000000183,A000089,Second Class,2014-11-24
S0000000184,A000089,Second Class,2014-11-24
S0000000185,A000089,Second Class,2014-11-24
S0000000186,A000090,Standard Class,2016-12-02
S0000000187,A000091,Standard Class,2014-08-30
S0000000188,A000092,Standard Class,2016-07-22
S0000000189,A000092,Standard Class,2016-07-22
S0000000190,A000093,First Class,2015-10-14
S0000000191,A000093,First Class,2015-10-14
S0000000192,A000093,First Class,2015-10-14
S0000000193,A000093,First Class,2015-10-14
S0000000194,A000093,First Class,2015-10-14
S0000000195,A000094,Standard Class,2015-11-06
S0000000196,A000095,Standard Class,2014-03-25
S0000000197,A000095,Standard Class,2014-03-25
S0000000198,A000096,Standard Class,2017-11-13
S0000000199,A000097,Standard Class,2017-07-13
S0000000200,A000097,Standard Class,2017-07-13
S0000000201,A000098,Standard Class,2017-06-29
S0000000202,A000099,First Class,2014-08-05
S0000000203,A000099,First Class,2014-08-05
S0000000204,A000100,Second Class,2017-12-21
S0000000205,A000101,Standard Class,2017-06-07
S0000000206,A000102,Standard Class,2017-12-14
S0000000207,A000103,Standard Class,2017-12-07
S0000000208,A000103,Standard Class,2017-12-07
S0000000209,A000103,Standard Class,2017-12-07
S0000000210,A000103,Standard Class,2017-12-07
S0000000211,A000103,Standard Class,2017-12-07
S0000000212,A000104,Second Class,2015-02-13
S0000000213,A000105,Standard Class,2015-01-09
S0000000214,A000105,Standard Class,2015-01-09
S0000000215,A000105,Standard Class,2015-01-09
S0000000216,A000105,Standard Class,2015-01-09
S0000000217,A000105,Standard Class,2015-01-09
S0000000218,A000106,Standard Class,2016-11-01
S0000000219,A000106,Standard Class,2016-11-01
S0000000220,A000107,First Class,2015-12-27
S0000000221,A000107,First Class,2015-12-27
S0000000222,A000107,First Class,2015-12-27
S0000000223,A000107,First Class,2015-12-27
S0000000224,A000107,First Class,2015-12-27
S0000000225,A000107,First Class,2015-12-27
S0000000226,A000108,Standard Class,2015-08-16
S0000000227,A000108,Standard Class,2015-08-16
S0000000228,A000108,Standard Class,2015-08-16
S0000000229,A000109,Standard Class,2015-03-04
S0000000230,A000109,Standard Class,2015-03-04
S0000000231,A000110,Standard Class,2014-09-17
S0000000232,A000111,Standard Class,2017-04-12
S0000000233,A000111,Standard Class,2017-04-12
S0000000234,A000111,Standard Class,2017-04-12
S0000000235,A000111,Standard Class,2017-04-12
S0000000236,A000111,Standard Class,2017-04-12
S0000000237,A000112,Standard Class,2017-11-16
S0000000238,A000113,Second Class,2016-06-09
S0000000239,A000113,Second Class,2016-06-09
S0000000240,A000113,Second Class,2016-06-09
S0000000241,A000113,Second Class,2016-06-09
S0000000242,A000113,Second Class,2016-06-09
S0000000243,A000113,Second Class,2016-06-09
S0000000244,A000113,Second Class,2016-06-09
S0000000245,A000114,Second Class,2014-06-06
S0000000246,A000114,Second Class,2014-06-06
S0000000247,A000114,Second Class,2014-06-06
S0000000248,A000114,Second Class,2014-06-06
S0000000249,A000114,Second Class,2014-06-06
S0000000250,A000115,Second Class,2016-12-15
S0000000251,A000116,Standard Class,2016-09-17
S0000000252,A000116,Standard Class,2016-09-17
S0000000253,A000117,First Class,2016-12-13
S0000000254,A000117,First Class,2016-12-13
S0000000255,A000118,Standard Class,2015-12-04
S0000000256,A000118,Standard Class,2015-12-04
S0000000257,A000118,Standard Class,2015-12-04
S0000000258,A000118,Standard Class,2015-12-04
S0000000259,A000119,Second Class,2017-12-03
S0000000260,A000119,Second Class,2017-12-03
S0000000261,A000119,Second Class,2017-12-03
S0000000262,A000120,Standard Class,2017-06-12
S0000000263,A000121,Second Class,2014-09-21
S0000000264,A000121,Second Class,2014-09-21
S0000000265,A000122,Standard Class,2016-06-13
S0000000266,A000123,Standard Class,2015-11-15
S0000000267,A000124,Standard Class,2017-06-20
S0000000268,A000125,Standard Class,2016-01-28
S0000000269,A000126,Standard Class,2017-12-13
S0000000270,A000126,Standard Class,2017-12-13
S0000000271,A000127,Second Class,2018-01-02
S0000000272,A000128,First Class,2015-07-31
S0000000273,A000128,First Class,2015-07-31
S0000000274,A000128,First Class,2015-07-31
S0000000275,A000129,First Class,2017-09-17
S0000000276,A000129,First Class,2017-09-17
S0000000277,A000130,Standard Class,2017-10-17
S0000000278,A000130,Standard Class,2017-10-17
S0000000279,A000130,Standard Class,2017-10-17
S0000000280,A000130,Standard Class,2017-10-17
S0000000281,A000131,Second Class,2015-09-28
S0000000282,A000131,Second Class,2015-09-28
S0000000283,A000132,Standard Class,2015-11-06
S0000000284,A000133,Standard Class,2015-10-02
S0000000285,A000133,Standard Class,2015-10-02
S0000000286,A000133,Standard Class,2015-10-02
S0000000287,A000134,Second Class,2016-12-20
S0000000288,A000134,Second Class,2016-12-20
S0000000289,A000134,Second Class,2016-12-20
S0000000290,A000135,Second Class,2016-11-24
S0000000291,A000135,Second Class,2016-11-24
S0000000292,A000135,Second Class,2016-11-24
S0000000293,A000135,Second Class,2016-11-24
S0000000294,A000136,First Class,2014-12-28
S0000000295,A000136,First Class,2014-12-28
S0000000296,A000136,First Class,2014-12-28
S0000000297,A000136,First Class,2014-12-28
S0000000298,A000136,First Class,2014-12-28
S0000000299,A000137,Standard Class,2016-11-03
S0000000300,A000137,Standard Class,2016-11-03
S0000000301,A000137,Standard Class,2016-11-03
S0000000302,A000137,Standard Class,2016-11-03
S0000000303,A000137,Standard Class,2016-11-03
S0000000304,A000138,Standard Class,2017-11-23
S0000000305,A000139,Second Class,2015-05-09
S0000000306,A000140,Standard Class,2015-01-04
S0000000307,A000141,Standard Class,2014-06-06
S0000000308,A000141,Standard Class,2014-06-06
S0000000309,A000142,First Class,2017-04-17
S0000000310,A000143,Second Class,2016-09-14
S0000000311,A000143,Second Class,2016-09-14
S0000000312,A000143,Second Class,2016-09-14
S0000000313,A000143,Second Class,2016-09-14
S0000000314,A000144,Standard Class,2014-10-03
S0000000315,A000145,Standard Class,2014-08-16
S0000000316,A000145,Standard Class,2014-08-16
S0000000317,A000146,First Class,2014-12-30
S0000000318,A000147,Standard Class,2014-11-09
S0000000319,A000147,Standard Class,2014-11-09
S0000000320,A000147,Standard Class,2014-11-09
S0000000321,A000147,Standard Class,2014-11-09
S0000000322,A000147,Standard Class,2014-11-09
S0000000323,A000148,Standard Class,2014-09-24
S0000000324,A000149,Standard Class,2016-04-27
S0000000325,A000149,Standard Class,2016-04-27
S0000000326,A000150,Second Class,2017-11-05
S0000000327,A000151,First Class,2016-09-01
S0000000328,A000151,First Class,2016-09-01
S0000000329,A000151,First Class,2016-09-01
S0000000330,A000151,First Class,2016-09-01
S0000000331,A000151,First Class,2016-09-01
S0000000332,A000152,Second Class,2016-04-29
S0000000333,A000152,Second Class,2016-04-29
S0000000334,A000152,Second Class,2016-04-29
S0000000335,A000153,Second Class,2015-09-04
S0000000336,A000153,Second Class,2015-09-04
S0000000337,A000153,Second Class,2015-09-04
S0000000338,A000154,Standard Class,2014-07-17
S0000000339,A000154,Standard Class,2014-07-17
S0000000340,A000155,Second Class,2015-06-26
S0000000341,A000067,Second Class,2014-04-17
S0000000342,A000067,Second Class,2014-04-17
S0000000343,A000067,Second Class,2014-04-17
S0000000344,A000067,Second Class,2014-04-17
S0000000345,A000156,Standard Class,2015-12-24
S0000000346,A000157,Standard Class,2017-06-19
S0000000347,A000158,Standard Class,2017-07-12
S0000000348,A000158,Standard Class,2017-07-12
S0000000349,A000158,Standard Class,2017-07-12
S0000000350,A000159,First Class,2016-09-03
S0000000351,A000159,First Class,2016-09-03
S0000000352,A000159,First Class,2016-09-03
S0000000353,A000159,First Class,2016-09-03
S0000000354,A000159,First Class,2016-09-03
S0000000355,A000160,Standard Class,2016-04-13
S0000000356,A000160,Standard Class,2016-04-13
S0000000357,A000160,Standard Class,2016-04-13
S0000000358,A000160,Standard Class,2016-04-13
S0000000359,A000161,Standard Class,2016-04-28
S0000000360,A000162,First Class,2017-03-11
S0000000361,A000162,First Class,2017-03-11
S0000000362,A000163,Standard Class,2017-10-01
S0000000363,A000163,Standard Class,2017-10-01
S0000000364,A000163,Standard Class,2017-10-01
S0000000365,A000163,Standard Class,2017-10-01
S0000000366,A000164,Standard Class,2014-09-29
S0000000367,A000165,Same Day,2016-10-21
S0000000368,A000165,Same Day,2016-10-21
S0000000369,A000165,Same Day,2016-10-21
S0000000370,A000165,Same Day,2016-10-21
S0000000371,A000166,Standard Class,2017-06-04
S0000000372,A000166,Standard Class,2017-06-04
S0000000373,A000167,Standard Class,2014-07-27
S0000000374,A000167,Standard Class,2014-07-27
S0000000375,A000167,Standard Class,2014-07-27
S0000000376,A000167,Standard Class,2014-07-27
S0000000377,A000168,First Class,2016-10-01
S0000000378,A000169,Standard Class,2017-09-01
S0000000379,A000170,Standard Class,2015-05-05
S0000000380,A000170,Standard Class,2015-05-05
S0000000381,A000170,Standard Class,2015-05-05
S0000000382,A000171,First Class,2016-10-29
S0000000383,A000171,First Class,2016-10-29
S0000000384,A000172,Second Class,2015-06-29
S0000000385,A000173,Standard Class,2015-12-02
S0000000386,A000173,Standard Class,2015-12-02
S0000000387,A000174,Standard Class,2015-12-07
S0000000388,A000174,Standard Class,2015-12-07
S0000000389,A000175,First Class,2014-11-26
S0000000390,A000176,Standard Class,2017-12-15
S0000000391,A000176,Standard Class,2017-12-15
S0000000392,A000177,Second Class,2014-09-23
S0000000393,A000177,Second Class,2014-09-23
S0000000394,A000178,Second Class,2014-06-10
S0000000395,A000179,Standard Class,2017-07-05
S0000000396,A000180,Second Class,2017-10-19
S0000000397,A000180,Second Class,2017-10-19
S0000000398,A000181,Standard Class,2015-11-04
S0000000399,A000182,Second Class,2016-09-10
S0000000400,A000182,Second Class,2016-09-10
S0000000401,A000182,Second Class,2016-09-10
S0000000402,A000182,Second Class,2016-09-10
S0000000403,A000183,First Class,2014-12-26
S0000000404,A000184,Standard Class,2014-04-20
S0000000405,A000185,Standard Class,2017-12-29
S0000000406,A000186,Standard Class,2017-12-12
S0000000407,A000186,Standard Class,2017-12-12
S0000000408,A000186,Standard Class,2017-12-12
S0000000409,A000186,Standard Class,2017-12-12
S0000000410,A000186,Standard Class,2017-12-12
S0000000411,A000186,Standard Class,2017-12-12
S0000000412,A000186,Standard Class,2017-12-12
S0000000413,A000186,Standard Class,2017-12-12
S0000000414,A000186,Standard Class,2017-12-12
S0000000415,A000187,Standard Class,2017-11-07
S0000000416,A000187,Standard Class,2017-11-07
S0000000417,A000188,Standard Class,2017-06-28
S0000000418,A000189,Standard Class,2016-04-18
S0000000419,A000190,Standard Class,2017-11-10
S0000000420,A000191,Standard Class,2017-03-09
S0000000421,A000191,Standard Class,2017-03-09
S0000000422,A000192,First Class,2014-06-25
S0000000423,A000193,Standard Class,2017-10-23
S0000000424,A000193,Standard Class,2017-10-23
S0000000425,A000194,Second Class,2017-08-23
S0000000426,A000195,Second Class,2017-11-26
S0000000427,A000195,Second Class,2017-11-26
S0000000428,A000196,First Class,2014-09-13
S0000000429,A000197,Standard Class,2017-10-08
S0000000430,A000198,Standard Class,2016-04-21
S0000000431,A000198,Standard Class,2016-04-21
S0000000432,A000198,Standard Class,2016-04-21
S0000000433,A000198,Standard Class,2016-04-21
S0000000434,A000199,First Class,2016-06-07
S0000000435,A000200,Standard Class,2014-12-25
S0000000436,A000200,Standard Class,2014-12-25
S0000000437,A000201,Second Class,2016-06-14
S0000000438,A000201,Second Class,2016-06-14
S0000000439,A000202,Standard Class,2017-09-19
S0000000440,A000203,Second Class,2017-01-23
S0000000441,A000204,Second Class,2016-09-07
S0000000442,A000204,Second Class,2016-09-07
S0000000443,A000204,Second Class,2016-09-07
S0000000444,A000204,Second Class,2016-09-07
S0000000445,A000204,Second Class,2016-09-07
S0000000446,A000204,Second Class,2016-09-07
S0000000447,A000205,Second Class,2017-03-25
S0000000448,A000206,Second Class,2016-04-03
S0000000449,A000206,Second Class,2016-04-03
S0000000450,A000206,Second Class,2016-04-03
S0000000451,A000206,Second Class,2016-04-03
S0000000452,A000206,Second Class,2016-04-03
S0000000453,A000206,Second Class,2016-04-03
S0000000454,A000207,Standard Class,2017-10-24
S0000000455,A000207,Standard Class,2017-10-24
S0000000456,A000208,Standard Class,2016-12-17
S0000000457,A000209,Standard Class,2014-02-18
S0000000458,A000210,Standard Class,2016-10-01
S0000000459,A000210,Standard Class,2016-10-01
S0000000460,A000211,Standard Class,2015-12-22
S0000000461,A000211,Standard Class,2015-12-22
S0000000462,A000211,Standard Class,2015-12-22
S0000000463,A000212,Standard Class,2016-04-29
S0000000464,A000212,Standard Class,2016-04-29
S0000000465,A000212,Standard Class,2016-04-29
S0000000466,A000212,Standard Class,2016-04-29
S0000000467,A000212,Standard Class,2016-04-29
S0000000468,A000213,Standard Class,2015-01-24
S0000000469,A000214,Standard Class,2017-04-04
S0000000470,A000215,Second Class,2016-12-20
S0000000471,A000216,Standard Class,2015-12-24
S0000000472,A000217,Second Class,2014-11-11
S0000000473,A000217,Second Class,2014-11-11
S0000000474,A000217,Second Class,2014-11-11
S0000000475,A000217,Second Class,2014-11-11
S0000000476,A000217,Second Class,2014-11-11
S0000000477,A000217,Second Class,2014-11-11
S0000000478,A000218,Standard Class,2016-07-19
S0000000479,A000219,Standard Class,2016-11-02
S0000000480,A000220,Standard Class,2016-07-02
S0000000481,A000220,Standard Class,2016-07-02
S0000000482,A000221,Standard Class,2014-10-10
S0000000483,A000222,Standard Class,2014-07-27
S0000000484,A000222,Standard Class,2014-07-27
S0000000485,A000223,First Class,2017-06-13
S0000000486,A000223,First Class,2017-06-13
S0000000487,A000223,First Class,2017-06-13
S0000000488,A000224,First Class,2014-10-31
S0000000489,A000225,Second Class,2014-06-13
S0000000490,A000225,Second Class,2014-06-13
S0000000491,A000225,Second Class,2014-06-13
S0000000492,A000226,Standard Class,2014-09-19
S0000000493,A000226,Standard Class,2014-09-19
S0000000494,A000227,Standard Class,2016-05-14
S0000000495,A000228,Second Class,2016-03-21
S0000000496,A000229,Standard Class,2015-12-31
S0000000497,A000230,Standard Class,2016-07-31
S0000000498,A000230,Standard Class,2016-07-31
S0000000499,A000230,Standard Class,2016-07-31
S0000000500,A000230,Standard Class,2016-07-31
S0000000501,A000231,Standard Class,2016-06-04
S0000000502,A000231,Standard Class,2016-06-04
S0000000503,A000231,Standard Class,2016-06-04
S0000000504,A000231,Standard Class,2016-06-04
S0000000505,A000231,Standard Class,2016-06-04
S0000000506,A000232,Second Class,2017-11-15
S0000000507,A000233,Standard Class,2015-03-22
S0000000508,A000233,Standard Class,2015-03-22
S0000000509,A000233,Standard Class,2015-03-22
S0000000510,A000233,Standard Class,2015-03-22
S0000000511,A000234,First Class,2017-11-27
S0000000512,A000234,First Class,2017-11-27
S0000000513,A000235,First Class,2016-10-23
S0000000514,A000236,Standard Class,2017-12-25
S0000000515,A000236,Standard Class,2017-12-25
S0000000516,A000237,Standard Class,2017-01-27
S0000000517,A000237,Standard Class,2017-01-27
S0000000518,A000237,Standard Class,2017-01-27
S0000000519,A000237,Standard Class,2017-01-27
S0000000520,A000238,Standard Class,2015-03-26
S0000000521,A000238,Standard Class,2015-03-26
S0000000522,A000238,Standard Class,2015-03-26
S0000000523,A000239,First Class,2017-01-25
S0000000524,A000240,First Class,2016-05-23
S0000000525,A000240,First Class,2016-05-23
S0000000526,A000241,Standard Class,2016-01-02
S0000000527,A000242,Standard Class,2017-10-26
S0000000528,A000242,Standard Class,2017-10-26
S0000000529,A000243,Standard Class,2015-09-07
S0000000530,A000243,Standard Class,2015-09-07
S0000000531,A000243,Standard Class,2015-09-07
S0000000532,A000244,Second Class,2015-11-09
S0000000533,A000245,Standard Class,2017-09-11
S0000000534,A000246,Second Class,2016-06-01
S0000000535,A000246,Second Class,2016-06-01
S0000000536,A000247,Standard Class,2016-07-16
S0000000537,A000248,Second Class,2017-09-08
S0000000538,A000249,Standard Class,2015-12-08
S0000000539,A000250,Standard Class,2015-12-11
S0000000540,A000250,Standard Class,2015-12-11
S0000000541,A000251,First Class,2014-02-03
S0000000542,A000252,First Class,2016-07-17
S0000000543,A000253,Standard Class,2015-12-23
S0000000544,A000254,Standard Class,2014-05-16
S0000000545,A000254,Standard Class,2014-05-16
S0000000546,A000254,Standard Class,2014-05-16
S0000000547,A000255,First Class,2017-11-22
S0000000548,A000255,First Class,2017-11-22
S0000000549,A000256,Second Class,2015-11-17
S0000000550,A000256,Second Class,2015-11-17
S0000000551,A000256,Second Class,2015-11-17
S0000000552,A000257,Second Class,2016-04-17
S0000000553,A000258,First Class,2017-09-12
S0000000554,A000259,Standard Class,2017-11-28
S0000000555,A000260,Second Class,2017-07-03
S0000000556,A000261,Second Class,2014-03-07
S0000000557,A000262,Standard Class,2016-06-15
S0000000558,A000262,Standard Class,2016-06-15
S0000000559,A000262,Standard Class,2016-06-15
S0000000560,A000263,Second Class,2017-11-22
S0000000561,A000263,Second Class,2017-11-22
S0000000562,A000264,Second Class,2014-09-18
S0000000563,A000264,Second Class,2014-09-18
S0000000564,A000265,First Class,2015-12-09
S0000000565,A000265,First Class,2015-12-09
S0000000566,A000266,First Class,2017-12-10
S0000000567,A000267,Standard Class,2017-10-08
S0000000568,A000267,Standard Class,2017-10-08
S0000000569,A000267,Standard Class,2017-10-08
S0000000570,A000267,Standard Class,2017-10-08
S0000000571,A000268,Standard Class,2018-01-04
S0000000572,A000268,Standard Class,2018-01-04
S0000000573,A000268,Standard Class,2018-01-04
S0000000574,A000268,Standard Class,2018-01-04
S0000000575,A000269,Standard Class,2016-11-07
S0000000576,A000270,Second Class,2015-09-22
S0000000577,A000270,Second Class,2015-09-22
S0000000578,A000270,Second Class,2015-09-22
S0000000579,A000271,Standard Class,2017-07-26
S0000000580,A000271,Standard Class,2017-07-26
S0000000581,A000272,Standard Class,2015-09-14
S0000000582,A000273,Standard Class,2017-12-05
S0000000583,A000273,Standard Class,2017-12-05
S0000000584,A000273,Standard Class,2017-12-05
S0000000585,A000273,Standard Class,2017-12-05
S0000000586,A000273,Standard Class,2017-12-05
S0000000587,A000274,Standard Class,2015-07-09
S0000000588,A000274,Standard Class,2015-07-09
S0000000589,A000275,Standard Class,2016-03-24
S0000000590,A000275,Standard Class,2016-03-24
S0000000591,A000275,Standard Class,2016-03-24
S0000000592,A000275,Standard Class,2016-03-24
S0000000593,A000276,Standard Class,2014-01-13
S0000000594,A000276,Standard Class,2014-01-13
S0000000595,A000277,Standard Class,2014-08-15
S0000000596,A000277,Standard Class,2014-08-15
S0000000597,A000277,Standard Class,2014-08-15
S0000000598,A000277,Standard Class,2014-08-15
S0000000599,A000278,First Class,2016-07-16
S0000000600,A000279,Standard Class,2016-07-21
S0000000601,A000279,Standard Class,2016-07-21
S0000000602,A000279,Standard Class,2016-07-21
S0000000603,A000280,Standard Class,2014-03-19
S0000000604,A000280,Standard Class,2014-03-19
S0000000605,A000280,Standard Class,2014-03-19
S0000000606,A000280,Standard Class,2014-03-19
S0000000607,A000280,Standard Class,2014-03-19
S0000000608,A000281,Standard Class,2014-05-27
S0000000609,A000281,Standard Class,2014-05-27
S0000000610,A000281,Standard Class,2014-05-27
S0000000611,A000282,First Class,2016-05-01
S0000000612,A000282,First Class,2016-05-01
S0000000613,A000283,Second Class,2016-09-13
S0000000614,A000283,Second Class,2016-09-13
S0000000615,A000284,Second Class,2017-11-17
S0000000616,A000284,Second Class,2017-11-17
S0000000617,A000285,Second Class,2017-08-23
S0000000618,A000285,Second Class,2017-08-23
S0000000619,A000285,Second Class,2017-08-23
S0000000620,A000285,Second Class,2017-08-23
S0000000621,A000285,Second Class,2017-08-23
S0000000622,A000286,Standard Class,2014-12-31
